applied subject,year until now,GPA,current subject,is honor college,GMAT,GRE,english test exempted,TOFEL,IELTS,internship,result
Art History,7,3.71,Modern Languages,1,775.5,0,0,90.3,0,1,1
Anatomy and Physiology,0,2.11,Statistics and Operational Research,0,0,195.27,1,0,0,0,0
Anthropology,8,3.06,Statistics and Operational Research,0,0,187.1,0,0,8.04,1,0
Geophysics,7,3.2,Geophysics,1,0,306.49,0,108.76,0,1,1
Linguistics,8,2.67,Veterinary Science,0,611.02,271.41,0,0,6.24,0,1
Performing Arts,7,3.49,Performing Arts,1,751.28,0,1,0,0,1,1
Engineering - Mineral and Mining,8,3.4,Engineering - Mineral and Mining,0,745.17,0,1,0,0,0,1
Engineering - Mineral and Mining,4,3.52,Engineering - Mineral and Mining,1,0,337.74,0,0,7.52,1,1
Archaeology,1,3.9,Archaeology,1,0,300.53,1,0,0,1,1
Sociology,10,3.08,Engineering - Electrical and Electronic,1,783.58,0,0,93.68,0,1,1
Social Sciences and Management,5,3.01,Development Studies,0,476.05,0,0,0,8.57,0,0
Engineering - Mechanical,0,3.72,Engineering - Mechanical,1,785.64,0,0,109.5,0,1,1
Hospitality and Leisure Management,8,3.8,Hospitality and Leisure Management,1,766.41,319.67,1,0,0,0,1
Geography,9,3.21,Geography,1,0,308.32,0,0,7.29,1,1
Linguistics,10,3.51,Geophysics,1,714.14,0,1,0,0,1,0
Social Sciences and Management,1,3.05,Psychology,0,0,239.47,1,0,0,0,0
Art History,10,3.26,Art History,1,0,308.55,0,0,6.36,1,1
Communication and Media Studies,8,3.63,Communication and Media Studies,1,0,333.24,1,0,0,0,0
Archaeology,5,2.02,Engineering - Chemical,0,324.75,225.24,0,0,7.88,1,1
Arts and Humanities,1,3.89,Arts and Humanities,1,794.9,0,1,0,0,1,0
Life Sciences and Medicine,4,3.19,Life Sciences and Medicine,1,0,312.65,1,0,0,1,1
Natural Sciences,7,3.4,Politics,1,0,303.39,1,0,0,0,1
Art and Design,1,3.32,Medicine,0,715.19,0,0,112.5,8.68,1,1
Anatomy and Physiology,7,2.47,Philosophy,0,0,243.89,1,0,0,0,0
Education and Training,0,3.69,Education and Training,1,0,300.8,1,0,0,1,0
Engineering - Civil and Structural,9,2.23,Computer Science and Information Systems,0,304.79,195.98,0,0,7.03,0,0
Psychology,7,3.27,Psychology,0,0,327.33,1,0,0,1,1
Art History,3,3.62,Art History,1,796.34,333.2,1,0,0,1,1
Psychology,1,3.84,Psychology,1,769.79,0,0,82.04,0,1,1
Architecture and Built Environment,4,3.96,Architecture and Built Environment,1,799.55,317.14,1,0,0,0,1
Business and Management Studies,3,3.99,Business and Management Studies,1,748.04,314.81,1,0,0,1,1
Statistics and Operational Research,0,3.03,Statistics and Operational Research,1,769.21,0,0,0,6.71,1,1
Social Sciences and Management,7,2.56,Geology,1,526.94,0,0,0,7.97,0,0
Geology,8,3.76,Geology,1,0,321.84,1,0,0,1,0
Hospitality and Leisure Management,5,3.53,Hospitality and Leisure Management,1,0,337.54,0,109.49,0,1,0
Linguistics,3,3.27,Linguistics,1,792.12,0,0,0,6.37,0,1
Veterinary Science,1,3.2,Veterinary Science,1,0,326.53,1,0,0,1,0
Accounting and Finance,7,3.24,Accounting and Finance,1,775.02,323.39,0,0,6.1,1,1
Performing Arts,5,3.51,Performing Arts,1,711.83,0,0,0,6.56,0,0
Engineering - Mineral and Mining,3,3.15,Mathematics,0,0,235.36,1,0,0,0,0
Natural Sciences,7,2.77,Biological Sciences,0,394.15,209.71,0,0,8.72,0,0
Engineering - Civil and Structural,2,3.37,Engineering - Civil and Structural,1,709.12,0,0,0,6.79,1,1
Geography,0,3.45,Geography,1,0,335.12,0,0,6.34,0,1
Biological Sciences,4,3.2,Development Studies,1,774.77,0,0,0,8.97,1,1
Pharmacy and Pharmacology,10,3.02,Pharmacy and Pharmacology,1,702.7,305.43,0,0,7.74,1,1
Medicine,4,3.21,Art and Design,1,769.32,0,0,0,8.57,1,1
Engineering - Civil and Structural,7,2.21,Life Sciences and Medicine,0,0,242.45,0,97.83,0,1,0
Engineering - Mineral and Mining,1,3.1,Engineering - Mineral and Mining,0,0,332.88,1,0,0,0,1
Agriculture and Forestry,0,3.07,Agriculture and Forestry,1,0,313.07,0,0,8.07,1,1
History,6,3.97,History,1,776.49,0,0,0,7.16,1,1
Politics,3,3.58,Politics,1,760.39,330.56,1,0,0,0,1
Earth and Marine Sciences,0,3.75,Earth and Marine Sciences,0,718.71,0,0,0,8.1,1,1
Pharmacy and Pharmacology,2,3.58,Pharmacy and Pharmacology,0,724.34,0,0,118.23,0,1,0
Statistics and Operational Research,9,3.48,Statistics and Operational Research,1,0,331.24,0,0,6.26,1,1
Law and Legal Studies,6,2.57,Law and Legal Studies,0,0,204.18,0,117.67,0,0,0
Law and Legal Studies,6,3.04,Law and Legal Studies,1,760.4,301.78,0,103.69,0,1,1
Library and Information Management,10,3.16,Art and Design,1,0,260.86,0,0,6.42,0,0
Geology,10,2.81,Engineering - Mechanical,0,573.91,0,0,0,8.95,0,0
Sports-Related Subjects,4,3.94,Sports-Related Subjects,1,708.32,0,0,91.31,6.93,1,0
Medicine,5,3.07,Medicine,1,742.89,0,1,0,0,1,1
Mathematics,10,3.59,Mathematics,1,0,316.61,1,0,0,1,0
Nursing,8,2.58,Engineering - Electrical and Electronic,0,0,212.35,1,0,0,1,1
Arts and Humanities,8,3.25,Classics and Ancient History,1,302.86,236.21,1,0,0,0,0
Modern Languages,0,3.19,Development Studies,0,0,220.66,1,0,0,0,0
Physics and Astronomy,3,3.64,Physics and Astronomy,0,764.36,0,1,0,0,1,1
Art and Design,1,3.59,Art and Design,1,748.12,318.02,0,107.02,0,1,0
Engineering - Petroleum,2,3.2,Engineering - Petroleum,1,719.73,0,0,112.54,0,1,1
Nursing,8,3.3,Nursing,1,0,302.11,1,0,0,1,1
Physics and Astronomy,6,3.07,Physics and Astronomy,1,0,325.3,0,94.59,0,1,1
Accounting and Finance,10,3.38,Accounting and Finance,1,0,329.03,0,99.44,0,0,0
Engineering - Petroleum,5,3.15,History,1,795.92,0,1,0,0,1,1
Law and Legal Studies,3,2.96,Medicine,0,512.0,0,0,83.82,0,0,0
Library and Information Management,9,2.13,Art History,1,309.51,0,0,109.21,6.44,0,0
Classics and Ancient History,7,3.05,Classics and Ancient History,1,735.2,0,1,0,0,0,1
Life Sciences and Medicine,8,3.84,Life Sciences and Medicine,1,0,319.71,0,116.39,0,1,1
Geophysics,5,3.67,Geophysics,0,781.83,0,1,0,0,1,1
Sociology,9,3.15,Development Studies,0,605.75,0,0,0,6.19,0,0
Computer Science and Information Systems,6,2.39,"Theology, Divinity and Religious Studies",1,597.03,0,1,0,0,1,0
Agriculture and Forestry,0,3.87,Agriculture and Forestry,1,707.41,0,0,0,8.7,1,0
"Theology, Divinity and Religious Studies",1,3.55,"Theology, Divinity and Religious Studies",1,743.96,307.74,0,0,7.27,1,0
Pharmacy and Pharmacology,7,2.28,Geography,0,578.78,0,0,0,7.36,0,0
Pharmacy and Pharmacology,7,3.75,Pharmacy and Pharmacology,0,724.93,0,0,0,8.86,1,1
Social Policy and Administration,8,3.14,Social Policy and Administration,1,0,303.09,0,0,7.01,1,1
Modern Languages,1,3.33,Modern Languages,1,0,333.55,0,0,6.92,1,1
Chemistry,6,3.25,Chemistry,1,0,317.25,1,0,0,1,1
Natural Sciences,0,2.71,Data Science,1,607.51,0,0,110.4,0,0,1
History,1,3.51,History,0,723.59,0,0,91.15,0,1,1
Law and Legal Studies,6,2.35,Engineering - Mechanical,0,506.71,0,1,0,0,0,0
Pharmacy and Pharmacology,0,3.91,Pharmacy and Pharmacology,0,0,324.5,0,90.31,0,1,1
Library and Information Management,8,2.85,Veterinary Science,0,0,233.25,1,0,0,0,0
Sports-Related Subjects,6,2.52,Computer Science and Information Systems,1,454.56,0,0,99.28,0,0,0
"Theology, Divinity and Religious Studies",8,2.57,English Language and Literature,0,520.46,0,1,0,0,0,0
Dentistry,2,3.6,Dentistry,1,793.42,0,0,105.25,0,1,1
Social Policy and Administration,0,3.89,Library and Information Management,1,0,302.32,0,96.05,0,1,1
Life Sciences and Medicine,0,3.36,Life Sciences and Medicine,0,0,335.56,0,98.72,8.72,1,0
Anatomy and Physiology,2,3.04,Anatomy and Physiology,0,0,310.97,0,117.35,0,0,1
Sports-Related Subjects,3,2.98,"Theology, Divinity and Religious Studies",0,587.79,0,1,0,0,1,0
Politics,9,3.29,Communication and Media Studies,1,520.59,0,0,111.56,0,0,0
Classics and Ancient History,7,3.7,Classics and Ancient History,0,712.12,313.29,0,0,7.52,1,0
Pharmacy and Pharmacology,2,3.58,Pharmacy and Pharmacology,1,707.14,0,1,0,0,1,1
Medicine,5,3.31,Medicine,1,717.34,0,1,0,0,1,1
Business and Management Studies,3,3.68,Business and Management Studies,1,0,336.76,0,0,8.24,0,1
Natural Sciences,6,2.82,Computer Science and Information Systems,0,0,227.62,1,0,0,0,0
Biological Sciences,4,3.22,Biological Sciences,1,0,300.46,0,99.93,0,1,1
Anthropology,1,3.71,Anthropology,0,732.25,0,0,0,8.14,1,1
Arts and Humanities,7,3.21,Arts and Humanities,1,754.93,0,1,0,0,0,0
Law and Legal Studies,1,3.17,Development Studies,1,726.92,339.29,1,0,0,1,1
Education and Training,6,3.6,Education and Training,1,0,323.54,1,0,0,1,1
Architecture and Built Environment,7,2.08,Engineering - Chemical,0,334.59,0,0,0,8.69,1,0
Hospitality and Leisure Management,3,3.23,Hospitality and Leisure Management,1,776.6,0,0,102.15,0,1,1
Sports-Related Subjects,4,3.63,Sports-Related Subjects,1,0,330.79,0,0,8.78,1,1
Pharmacy and Pharmacology,5,3.14,Physics and Astronomy,1,0,332.65,1,0,0,1,1
Statistics and Operational Research,3,2.44,Development Studies,1,0,214.87,1,0,0,0,0
Engineering - Electrical and Electronic,5,3.68,Economics and Econometrics,0,780.72,0,1,0,0,1,1
Engineering - Electrical and Electronic,4,3.63,Engineering - Electrical and Electronic,1,0,309.06,0,101.66,7.26,0,1
Veterinary Science,7,3.35,Veterinary Science,1,0,311.88,1,0,0,1,1
Geology,8,3.1,Geology,1,797.84,310.53,1,0,0,1,1
Sociology,0,3.84,Sociology,1,742.04,338.77,0,0,7.94,1,1
Classics and Ancient History,7,3.25,Life Sciences and Medicine,1,0,329.85,0,96.17,7.5,1,1
Art History,5,3.22,Art History,1,751.91,0,1,0,0,0,1
Marketing,8,2.9,Law and Legal Studies,1,575.53,0,0,99.32,0,1,0
Modern Languages,1,3.29,Chemistry,1,0,317.26,0,112.52,0,0,1
Biological Sciences,7,3.26,Psychology,0,572.02,0,0,0,7.55,0,0
Pharmacy and Pharmacology,8,3.7,Pharmacy and Pharmacology,1,771.06,0,1,0,0,0,1
Art History,6,3.87,Nursing,1,0,308.15,0,110.65,7.82,0,0
Life Sciences and Medicine,8,3.88,Life Sciences and Medicine,0,0,327.57,1,0,0,1,1
Mathematics,1,3.38,Mathematics,1,0,308.53,1,0,0,1,0
Physics and Astronomy,6,3.52,Physics and Astronomy,1,724.29,328.66,0,0,7.7,1,1
Engineering - Mechanical,7,3.83,Engineering - Mechanical,0,0,307.38,1,0,0,1,1
Materials Sciences,2,4.0,Materials Sciences,1,716.87,328.25,0,118.45,0,1,1
Social Policy and Administration,10,3.68,Social Policy and Administration,1,721.1,0,0,81.17,8.05,1,1
Architecture and Built Environment,0,3.42,Architecture and Built Environment,0,760.77,301.04,1,0,0,1,1
Geology,5,2.94,Engineering - Petroleum,1,0,273.63,0,97.7,0,0,0
"Theology, Divinity and Religious Studies",9,3.84,"Theology, Divinity and Religious Studies",1,799.51,0,0,0,8.34,1,1
Engineering - Civil and Structural,6,3.2,Engineering - Civil and Structural,0,724.22,0,1,0,0,1,1
Geophysics,8,3.02,Art History,0,533.8,0,0,0,8.25,1,0
Art and Design,2,3.26,Art and Design,1,0,302.6,0,0,8.7,1,1
Natural Sciences,5,3.66,Natural Sciences,1,0,316.38,0,102.53,0,1,1
Development Studies,3,2.96,Philosophy,0,353.97,0,1,0,0,0,0
Statistics and Operational Research,2,3.88,Statistics and Operational Research,0,764.8,0,0,112.87,7.28,0,1
Art and Design,4,3.94,Art and Design,1,0,302.05,0,83.81,0,1,1
Mathematics,0,3.83,Mathematics,1,745.62,302.51,1,0,0,0,1
Engineering - Electrical and Electronic,7,3.92,Engineering - Electrical and Electronic,0,0,313.72,1,0,0,1,1
Geography,10,3.65,Geography,1,738.02,332.86,1,0,0,1,0
"Theology, Divinity and Religious Studies",0,3.67,"Theology, Divinity and Religious Studies",1,733.05,0,0,0,8.26,1,1
Social Policy and Administration,2,2.4,Materials Sciences,0,0,228.72,0,85.5,0,0,0
Veterinary Science,2,2.84,Psychology,0,0,187.58,1,0,0,1,0
Marketing,6,2.29,Nursing,0,0,239.72,1,0,0,0,0
Life Sciences and Medicine,7,3.41,Materials Sciences,1,0,310.45,0,109.46,0,1,1
Anatomy and Physiology,0,3.09,Anatomy and Physiology,0,796.81,0,1,0,0,0,1
Engineering - Petroleum,5,3.32,Engineering - Petroleum,1,775.31,0,0,0,6.99,1,1
Communication and Media Studies,2,3.28,Classics and Ancient History,1,439.02,0,1,0,0,0,1
Chemistry,4,3.04,Chemistry,1,703.21,0,1,0,0,0,1
Data Science,8,3.42,Data Science,1,721.87,336.52,0,0,7.56,1,1
Medicine,6,2.99,Medicine,1,566.18,0,0,0,6.21,0,0
Dentistry,4,3.76,Anatomy and Physiology,0,716.06,0,0,0,6.02,1,1
Veterinary Science,4,3.93,Veterinary Science,1,756.04,314.28,0,0,6.27,1,1
Engineering - Petroleum,7,3.74,Engineering - Petroleum,1,716.19,0,1,0,0,1,1
Engineering - Civil and Structural,1,2.82,Philosophy,0,313.17,0,1,0,0,0,0
English Language and Literature,6,2.42,Psychology,0,379.7,0,1,0,0,0,0
Hospitality and Leisure Management,3,3.98,Hospitality and Leisure Management,1,754.93,0,0,0,6.0,1,1
Life Sciences and Medicine,3,3.26,Life Sciences and Medicine,1,0,337.73,0,0,8.43,1,0
Engineering - Petroleum,1,3.74,Engineering - Petroleum,1,772.3,323.96,0,0,6.92,1,1
Computer Science and Information Systems,8,3.88,Computer Science and Information Systems,1,0,331.36,1,0,0,1,1
Social Policy and Administration,1,3.19,Agriculture and Forestry,0,0,214.49,1,0,0,1,0
Philosophy,6,3.54,Philosophy,1,734.66,333.6,0,103.1,0,1,1
Data Science,1,3.09,Data Science,1,773.32,0,1,0,0,1,0
Business and Management Studies,8,3.11,Modern Languages,1,401.89,221.86,1,0,0,0,0
Earth and Marine Sciences,5,3.17,Earth and Marine Sciences,1,0,309.5,1,0,0,0,1
Natural Sciences,7,3.19,Natural Sciences,1,726.43,320.74,0,0,6.52,1,1
Architecture and Built Environment,10,3.29,Pharmacy and Pharmacology,0,472.98,0,1,0,0,1,0
Accounting and Finance,1,3.67,Accounting and Finance,0,717.96,321.53,0,0,6.6,1,1
Art History,1,3.79,Art History,0,0,300.11,0,97.24,8.18,1,1
Chemistry,6,2.79,Life Sciences and Medicine,0,566.83,0,0,0,6.84,0,0
Materials Sciences,3,3.43,Materials Sciences,1,0,326.93,1,0,0,1,1
Art and Design,6,3.69,Art and Design,1,0,318.01,0,0,7.92,1,0
Materials Sciences,10,3.61,Agriculture and Forestry,1,732.36,302.58,1,0,0,1,1
Art and Design,4,3.17,Art and Design,1,743.4,0,0,0,8.85,1,1
Engineering - Mechanical,10,3.51,Engineering - Mechanical,1,0,320.78,1,0,0,1,1
Social Sciences and Management,10,3.8,Social Sciences and Management,1,752.64,0,1,0,0,1,1
Pharmacy and Pharmacology,0,3.26,Pharmacy and Pharmacology,0,0,313.49,1,0,0,1,1
Social Sciences and Management,8,3.03,Social Sciences and Management,1,783.55,0,0,0,8.67,0,0
Accounting and Finance,1,3.16,Art and Design,1,0,323.57,1,0,0,1,1
Dentistry,9,3.28,Dentistry,1,768.53,0,1,0,0,1,1
Engineering - Mechanical,3,3.8,Engineering - Mechanical,1,712.75,312.25,0,116.14,0,1,1
Engineering - Civil and Structural,2,3.01,Engineering - Civil and Structural,1,0,338.41,1,0,0,1,1
Earth and Marine Sciences,7,3.24,Biological Sciences,1,605.88,0,1,0,0,1,0
Mathematics,4,3.18,Mathematics,1,750.59,302.28,1,0,0,1,1
Performing Arts,7,3.47,Performing Arts,1,713.49,0,0,0,7.73,1,0
Materials Sciences,9,3.85,Nursing,1,0,319.86,1,0,0,1,1
Nursing,1,2.25,Materials Sciences,0,0,226.54,0,0,7.82,0,0
English Language and Literature,1,3.7,Anatomy and Physiology,1,799.96,308.76,0,85.74,0,1,1
Marketing,6,3.65,Marketing,1,0,336.82,0,96.65,7.72,1,1
Statistics and Operational Research,3,3.65,Statistics and Operational Research,1,0,330.29,0,0,6.85,1,1
Data Science,10,3.97,Data Science,1,0,314.46,0,85.09,0,1,1
Engineering - Chemical,7,3.43,Engineering - Chemical,0,0,303.08,1,0,0,1,1
Philosophy,4,3.11,Philosophy,1,0,303.15,0,0,6.94,1,0
Marketing,1,2.82,Economics and Econometrics,0,419.94,0,1,0,0,1,0
Engineering - Civil and Structural,9,3.31,Engineering - Electrical and Electronic,1,0,332.08,1,0,0,1,1
Geography,4,3.7,Geography,1,706.58,0,0,0,8.61,1,1
Engineering - Mechanical,8,3.78,Engineering - Mechanical,1,0,335.86,0,0,6.07,1,1
Dentistry,8,3.52,Dentistry,0,0,305.4,1,0,0,1,0
Education and Training,0,3.09,Computer Science and Information Systems,1,750.02,0,1,0,0,0,1
Hospitality and Leisure Management,8,3.65,Hospitality and Leisure Management,1,734.17,322.08,1,0,0,1,1
Marketing,3,2.87,Sports-Related Subjects,0,343.13,203.38,0,0,7.07,0,1
Agriculture and Forestry,7,3.54,Agriculture and Forestry,1,755.74,308.99,0,0,6.77,1,1
Development Studies,10,3.43,Development Studies,0,730.21,320.19,1,0,0,1,1
Arts and Humanities,10,3.26,Arts and Humanities,1,742.83,300.06,1,0,0,1,1
Materials Sciences,5,3.87,Materials Sciences,0,0,308.14,1,0,0,1,1
Social Policy and Administration,7,3.4,Classics and Ancient History,1,0,332.27,1,0,0,1,1
Arts and Humanities,10,2.03,Natural Sciences,1,0,215.02,0,0,6.16,0,0
Social Policy and Administration,1,3.16,Social Policy and Administration,1,778.42,0,0,105.15,0,1,1
Development Studies,8,3.5,Linguistics,1,0,315.61,1,0,0,0,1
Environmental Sciences,0,3.01,Engineering - Petroleum,0,397.33,0,1,0,0,0,0
Environmental Sciences,5,3.99,Environmental Sciences,1,0,305.01,1,0,0,1,1
Philosophy,8,3.84,Philosophy,0,0,325.27,1,0,0,1,1
Art History,0,3.52,Art History,1,720.17,324.0,0,112.22,0,1,1
English Language and Literature,2,3.73,English Language and Literature,1,784.24,317.85,1,0,0,1,1
Social Sciences and Management,4,3.07,Social Sciences and Management,0,725.99,0,1,0,0,1,1
Engineering - Mechanical,9,3.45,Engineering - Mechanical,0,745.36,312.24,0,107.92,6.09,1,1
Sociology,2,3.18,Engineering - Chemical,0,607.52,0,1,0,0,0,0
Veterinary Science,6,2.19,Anthropology,1,603.23,0,1,0,0,0,0
History,0,3.74,Performing Arts,1,0,301.81,1,0,0,0,0
Medicine,2,3.62,Statistics and Operational Research,1,798.59,0,0,0,8.45,1,1
Education and Training,1,3.71,Education and Training,1,0,328.95,0,0,8.17,1,1
Sociology,3,3.1,Sociology,0,723.12,0,1,0,0,0,1
Natural Sciences,9,2.86,Environmental Sciences,0,0,255.35,0,0,7.69,1,0
Earth and Marine Sciences,10,3.8,Earth and Marine Sciences,1,701.71,0,0,109.01,0,1,1
Philosophy,10,3.01,Philosophy,1,740.13,316.61,0,0,7.36,1,1
Economics and Econometrics,5,3.98,Economics and Econometrics,1,749.0,0,0,0,7.0,1,0
Economics and Econometrics,4,2.08,Business and Management Studies,1,0,246.14,1,0,0,0,0
Modern Languages,0,3.73,Modern Languages,1,715.49,0,0,81.4,0,1,1
Engineering - Mechanical,4,2.81,Linguistics,0,0,239.65,0,101.15,0,0,0
Law and Legal Studies,2,3.78,Anthropology,1,708.21,318.2,1,0,0,1,1
Medicine,2,2.62,Engineering - Chemical,0,367.85,0,1,0,0,0,1
Politics,0,3.15,Politics,1,745.96,0,1,0,0,1,1
Arts and Humanities,0,3.91,Arts and Humanities,1,0,317.91,0,99.43,6.2,1,1
Veterinary Science,9,2.18,Computer Science and Information Systems,0,594.89,264.68,1,0,0,0,0
Earth and Marine Sciences,10,3.81,Dentistry,1,0,335.93,1,0,0,1,1
English Language and Literature,5,2.71,Medicine,0,539.06,0,0,113.06,0,0,1
History,8,3.02,History,1,762.12,332.95,0,107.6,8.62,1,0
Communication and Media Studies,7,3.52,Earth and Marine Sciences,1,709.03,0,1,0,0,1,1
Geophysics,7,2.45,Geography,0,0,264.27,0,0,7.46,0,0
Earth and Marine Sciences,0,3.48,Earth and Marine Sciences,1,0,307.26,1,0,0,1,1
Engineering - Chemical,0,3.2,"Theology, Divinity and Religious Studies",0,0,252.94,0,0,6.35,0,0
Archaeology,3,3.01,Art and Design,0,316.49,0,1,0,0,0,0
Materials Sciences,9,3.83,Materials Sciences,1,0,319.93,0,0,7.04,1,1
Natural Sciences,0,3.28,Natural Sciences,1,0,315.57,1,0,0,1,0
Politics,3,3.37,Politics,1,0,315.25,1,0,0,1,1
English Language and Literature,10,3.66,English Language and Literature,1,0,332.58,1,0,0,1,1
Engineering - Electrical and Electronic,4,3.83,Engineering - Electrical and Electronic,1,0,318.0,1,0,0,1,0
Library and Information Management,7,3.33,Library and Information Management,1,0,335.58,0,0,7.59,1,1
Physics and Astronomy,5,3.63,Physics and Astronomy,1,722.92,339.64,0,0,7.49,1,0
Engineering - Chemical,4,3.06,Veterinary Science,0,0,225.94,0,100.88,0,0,0
Environmental Sciences,7,2.56,Linguistics,0,544.51,275.45,1,0,0,0,1
Art History,5,3.65,Art History,0,0,317.8,0,92.73,0,1,1
Politics,0,3.91,Politics,1,764.91,0,1,0,0,1,1
Social Policy and Administration,6,3.6,Social Policy and Administration,0,722.86,0,1,0,0,1,1
Library and Information Management,1,3.36,Library and Information Management,1,716.71,0,1,0,0,1,1
Architecture and Built Environment,6,3.91,Materials Sciences,0,0,307.47,0,0,6.3,1,0
Engineering - Mineral and Mining,0,3.65,Marketing,1,785.74,0,0,99.91,7.82,1,1
English Language and Literature,5,2.37,Veterinary Science,1,542.34,0,0,118.76,8.45,0,0
Engineering - Electrical and Electronic,10,3.98,Engineering - Electrical and Electronic,1,759.55,0,1,0,0,0,1
Hospitality and Leisure Management,9,3.46,Hospitality and Leisure Management,1,727.97,310.69,1,0,0,1,1
Arts and Humanities,3,3.22,Arts and Humanities,0,0,302.31,1,0,0,1,0
History,7,3.3,Psychology,0,787.78,320.22,1,0,0,0,1
Archaeology,4,3.22,Archaeology,1,799.15,0,0,0,8.58,1,1
Geophysics,2,3.53,Archaeology,0,711.17,329.42,0,0,7.5,1,1
Materials Sciences,10,3.28,Materials Sciences,1,778.08,339.24,0,0,8.62,1,1
Earth and Marine Sciences,8,2.11,Performing Arts,1,499.36,0,1,0,0,1,0
Medicine,3,3.39,Medicine,1,772.01,307.82,0,0,8.91,0,1
Computer Science and Information Systems,9,3.77,Computer Science and Information Systems,0,0,332.85,0,0,7.15,1,0
Architecture and Built Environment,0,3.62,Architecture and Built Environment,1,744.4,0,0,113.06,0,1,1
Engineering - Chemical,2,3.59,Engineering - Chemical,1,709.34,0,1,0,0,1,1
Arts and Humanities,0,3.44,Arts and Humanities,1,0,332.92,0,91.04,0,1,1
Materials Sciences,1,2.11,Engineering - Mechanical,0,646.39,0,1,0,0,0,1
Pharmacy and Pharmacology,2,3.67,Pharmacy and Pharmacology,0,786.35,0,0,0,7.71,1,1
Engineering - Mechanical,6,3.89,Engineering - Mechanical,0,799.64,0,1,0,0,1,0
Sports-Related Subjects,3,3.01,Sports-Related Subjects,1,723.79,0,1,0,0,1,0
Life Sciences and Medicine,10,3.02,Engineering - Electrical and Electronic,0,603.39,220.49,1,0,0,0,0
Modern Languages,2,3.93,Modern Languages,1,0,304.51,1,0,0,1,1
Performing Arts,3,3.51,Performing Arts,1,0,322.75,1,0,0,1,0
Natural Sciences,2,3.46,Natural Sciences,0,0,311.75,0,86.11,7.64,0,1
Nursing,2,2.38,Economics and Econometrics,0,535.1,0,0,81.05,0,0,0
Linguistics,9,3.75,Linguistics,1,0,323.32,0,105.3,6.24,1,1
Engineering - Mechanical,1,3.9,Engineering - Mechanical,1,0,331.61,1,0,0,1,1
Nursing,0,2.27,Geophysics,0,438.54,231.64,1,0,0,0,0
Computer Science and Information Systems,10,3.4,Computer Science and Information Systems,1,718.89,308.65,1,0,0,1,1
Sociology,3,3.91,"Theology, Divinity and Religious Studies",0,731.62,310.42,1,0,0,1,1
Dentistry,6,2.14,"Theology, Divinity and Religious Studies",0,592.97,0,1,0,0,0,1
Mathematics,7,3.05,Communication and Media Studies,0,612.9,188.52,0,0,6.45,0,1
Arts and Humanities,5,3.63,Arts and Humanities,1,753.47,0,1,0,0,1,1
Anatomy and Physiology,6,3.48,Anatomy and Physiology,1,0,304.39,1,0,0,0,1
Medicine,1,3.54,Medicine,1,0,301.54,0,94.06,0,0,1
Development Studies,0,3.68,Development Studies,1,0,338.57,1,0,0,1,0
Arts and Humanities,4,3.25,Sports-Related Subjects,1,0,314.73,1,0,0,1,1
Medicine,5,3.86,Medicine,1,780.55,0,0,0,8.77,1,1
Sports-Related Subjects,6,3.97,Engineering - Electrical and Electronic,1,0,314.66,1,0,0,1,1
"Theology, Divinity and Religious Studies",6,3.19,"Theology, Divinity and Religious Studies",1,0,317.65,1,0,0,1,0
Linguistics,4,3.85,Environmental Sciences,0,0,314.02,1,0,0,1,1
Engineering and Technology,8,3.76,Engineering and Technology,1,742.82,0,1,0,0,1,1
Classics and Ancient History,0,3.79,Classics and Ancient History,1,746.14,0,0,103.14,0,0,1
Dentistry,6,3.38,Geology,1,0,314.66,0,102.01,0,0,1
Statistics and Operational Research,4,3.46,Statistics and Operational Research,0,712.43,0,1,0,0,1,1
Pharmacy and Pharmacology,6,3.71,Pharmacy and Pharmacology,1,710.61,327.14,1,0,0,1,0
Philosophy,4,2.55,Engineering - Chemical,0,0,203.88,0,0,7.39,0,0
Pharmacy and Pharmacology,5,3.12,Geophysics,0,0,309.3,0,113.58,7.93,0,1
English Language and Literature,1,3.4,English Language and Literature,1,790.3,0,0,106.42,0,1,1
Statistics and Operational Research,8,3.4,Statistics and Operational Research,1,0,316.01,0,0,6.53,1,1
Engineering - Mineral and Mining,10,2.4,Economics and Econometrics,0,514.38,0,1,0,0,1,0
Engineering - Chemical,4,3.24,Law and Legal Studies,0,434.16,0,0,106.43,0,0,0
Politics,4,2.6,Engineering - Electrical and Electronic,1,397.89,202.98,1,0,0,0,0
Marketing,1,2.49,Education and Training,0,0,208.44,1,0,0,0,0
Geophysics,9,3.18,Sports-Related Subjects,0,0,197.85,1,0,0,0,0
Hospitality and Leisure Management,1,3.05,Hospitality and Leisure Management,0,759.44,0,0,0,8.27,1,1
Statistics and Operational Research,5,2.92,Social Policy and Administration,1,0,204.44,1,0,0,0,1
Arts and Humanities,9,3.75,Arts and Humanities,1,793.6,0,1,0,0,0,0
Pharmacy and Pharmacology,4,3.05,Pharmacy and Pharmacology,0,0,338.68,1,0,0,0,1
Dentistry,5,3.66,Dentistry,1,0,312.63,0,109.02,0,0,1
Biological Sciences,9,2.75,Chemistry,1,582.74,0,1,0,0,0,0
Marketing,6,3.16,Marketing,1,0,333.67,0,0,6.54,1,1
Geophysics,10,3.61,Geophysics,1,771.91,0,0,0,6.6,1,1
Politics,3,3.37,Politics,1,0,301.65,1,0,0,0,1
Art History,7,3.52,Art History,1,0,301.97,0,0,7.38,1,1
